customer_id,customer_name,signup_date,region,segment,industry,account_owner,contract_tier,employee_count,country,active_flag,order_count,total_net_revenue,ticket_count,average_resolution_hours,average_satisfaction_score,value_tier,risk_flag
C-0001,Customer 1 Analytics,2024-01-12,South,Mid-Market,Healthcare,Vikram Menon,Silver,97,USA,Y,1.0,1566.7171999999998,6.0,168.0,3.3333333333333335,Tier 2 (Core),1
C-0002,Customer 2 Analytics,2024-01-23,East,SMB,Finance,Priya Shah,Gold,144,UK,Y,1.0,7672.654399999999,0.0,,,Tier 1 (VIP),0
C-0003,Customer 3 Analytics,2024-02-03,West,Strategic,Manufacturing,Rahul Iyer,Platinum,191,UAE,N,1.0,3749.0969999999993,0.0,,,Tier 2 (Core),0
C-0004,Customer 4 Analytics,2024-02-14,Central,Public Sector,Telecom,Neha Gupta,Bronze,238,Singapore,Y,1.0,2164.5526,0.0,,,Tier 2 (Core),0
C-0005,Customer 5 Analytics,2024-02-25,North,Enterprise,Logistics,Daniel Thomas,Silver,285,India,Y,2.0,9613.8888,0.0,,,Tier 1 (VIP),0
C-0006,Customer 6 Analytics,2024-03-07,South,Mid-Market,Energy,Maya Nair,Gold,332,USA,Y,2.0,10961.5986,7.0,84.0,2.5714285714285716,Tier 1 (VIP),1
C-0007,Customer 7 Analytics,2024-03-18,East,SMB,Technology,Karan Mehta,Platinum,379,UK,N,2.0,7664.4218,0.0,,,Tier 1 (VIP),0
C-0008,Customer 8 Analytics,2024-03-29,West,Strategic,Retail,Asha Rao,Bronze,426,UAE,Y,2.0,2036.6371,0.0,,,Tier 2 (Core),0
C-0009,Customer 9 Analytics,2024-04-09,Central,Public Sector,Healthcare,Vikram Menon,Silver,473,Singapore,Y,1.0,7387.338000000001,0.0,,,Tier 1 (VIP),0
C-0010,Customer 10 Analytics,2024-04-20,North,Enterprise,Finance,Priya Shah,Gold,520,India,Y,1.0,5678.3218,0.0,,,Tier 1 (VIP),0
